,topics
0,"{'topics': [['town', 'united', 'township', 'states', 'city', 'census', 'area', 'county', 'municipality', 'population'], ['town', 'river', 'located', 'city', 'railway', 'station', 'county', 'historic', 'district', 'building'], ['national', 'football', 'world', 'basketball', 'played', 'team', 'player', 'plays', 'footballer', 'professional'], ['politician', 'member', 'band', 'served', 'american', 'film', 'also', 'known', 'first', 'best'], ['first', 'ii', 'uss', 'united', 'world', 'states', 'ship', 'navy', 'war', 'built'], ['common', 'america', 'gastropod', 'extinct', 'sea', 'known', 'found', 'species', 'family', 'genus'], ['czech', 'town', 'population', 'district', 'municipality', 'army', 'air', 'th', 'force', 'republic']]}"
1,"{'topics': [['river', 'county', 'city', 'located', 'district', 'historic', 'station', 'town', 'building', 'railway'], ['town', 'municipality', 'area', 'county', 'city', 'census', 'township', 'population', 'united', 'states'], ['basketball', 'national', 'league', 'team', 'player', 'footballer', 'plays', 'played', 'football', 'professional'], ['first', 'world', 'air', 'united', 'aircraft', 'ship', 'states', 'built', 'war', 'navy'], ['politician', 'served', 'best', 'member', 'band', 'known', 'first', 'film', 'also', 'american'], ['common', 'described', 'found', 'species', 'sea', 'extinct', 'fish', 'genus', 'known', 'family'], ['czech', 'town', 'city', 'population', 'th', 'army', 'municipality', 'republic', 'air', 'district']]}"
2,"{'topics': [['river', 'town', 'building', 'historic', 'station', 'railway', 'county', 'district', 'city', 'located'], ['town', 'municipality', 'area', 'township', 'city', 'united', 'census', 'county', 'states', 'population'], ['former', 'national', 'team', 'league', 'player', 'plays', 'footballer', 'professional', 'football', 'played'], ['first', 'world', 'aircraft', 'air', 'built', 'war', 'navy', 'states', 'ship', 'united'], ['actor', 'member', 'best', 'band', 'served', 'first', 'also', 'american', 'film', 'known'], ['also', 'america', 'common', 'plant', 'known', 'native', 'found', 'species', 'family', 'genus'], ['th', 'republic', 'states', 'army', 'air', 'population', 'city', 'district', 'united', 'municipality']]}"
3,"{'topics': [['town', 'building', 'river', 'historic', 'station', 'located', 'district', 'county', 'city', 'railway'], ['town', 'township', 'area', 'municipality', 'city', 'states', 'census', 'county', 'population', 'united'], ['also', 'america', 'common', 'plant', 'known', 'family', 'genus', 'found', 'native', 'species'], ['uss', 'world', 'aircraft', 'built', 'united', 'navy', 'states', 'air', 'ship', 'war'], ['united', 'city', 'town', 'th', 'republic', 'municipality', 'army', 'population', 'air', 'district'], ['national', 'world', 'football', 'basketball', 'team', 'played', 'player', 'plays', 'professional', 'footballer'], ['politician', 'member', 'served', 'best', 'film', 'band', 'also', 'known', 'american', 'first']]}"
4,"{'topics': [['town', 'municipality', 'township', 'area', 'city', 'united', 'census', 'population', 'states', 'county'], ['first', 'world', 'air', 'aircraft', 'navy', 'ship', 'united', 'built', 'war', 'states'], ['czech', 'population', 'region', 'force', 'th', 'army', 'republic', 'municipality', 'district', 'air'], ['town', 'river', 'building', 'historic', 'railway', 'located', 'county', 'station', 'district', 'city'], ['basketball', 'team', 'national', 'professional', 'played', 'league', 'footballer', 'plays', 'football', 'player'], ['best', 'band', 'one', 'first', 'american', 'film', 'known', 'family', 'species', 'also']]}"
5,"{'topics': [['building', 'town', 'river', 'historic', 'district', 'county', 'railway', 'station', 'located', 'city'], ['town', 'area', 'county', 'city', 'population', 'township', 'states', 'united', 'municipality', 'census'], ['basketball', 'national', 'plays', 'league', 'player', 'footballer', 'played', 'team', 'football', 'professional'], ['south', 'native', 'municipality', 'known', 'genus', 'also', 'species', 'found', 'family', 'one'], ['world', 'united', 'one', 'served', 'war', 'first', 'film', 'american', 'also', 'known']]}"
6,"{'topics': [['building', 'river', 'town', 'historic', 'city', 'railway', 'county', 'station', 'located', 'district'], ['first', 'world', 'air', 'aircraft', 'navy', 'united', 'states', 'built', 'war', 'ship'], ['district', 'area', 'town', 'municipality', 'county', 'city', 'population', 'states', 'census', 'united'], ['hockey', 'national', 'basketball', 'played', 'league', 'team', 'plays', 'player', 'footballer', 'professional'], ['common', 'also', 'extinct', 'sea', 'family', 'known', 'genus', 'fish', 'species', 'found'], ['actor', 'served', 'member', 'best', 'known', 'american', 'first', 'film', 'band', 'also']]}"
7,"{'topics': [['town', 'municipality', 'township', 'city', 'states', 'county', 'area', 'census', 'united', 'population'], ['town', 'historic', 'building', 'river', 'railway', 'station', 'county', 'located', 'city', 'district'], ['national', 'club', 'footballer', 'team', 'played', 'player', 'professional', 'football', 'plays', 'world'], ['uss', 'world', 'united', 'aircraft', 'states', 'built', 'air', 'war', 'navy', 'ship'], ['located', 'municipality', 'district', 'force', 'air', 'population', 'th', 'army', 'republic', 'region'], ['member', 'politician', 'served', 'also', 'known', 'first', 'best', 'film', 'band', 'american'], ['plant', 'sea', 'america', 'species', 'known', 'family', 'found', 'common', 'native', 'genus']]}"
8,"{'topics': [['town', 'river', 'building', 'historic', 'county', 'district', 'located', 'station', 'railway', 'city'], ['first', 'world', 'air', 'aircraft', 'states', 'united', 'built', 'war', 'ship', 'navy'], ['national', 'world', 'football', 'played', 'professional', 'basketball', 'player', 'team', 'footballer', 'plays'], ['politician', 'also', 'band', 'first', 'served', 'film', 'american', 'known', 'member', 'best'], ['state', 'municipality', 'area', 'township', 'city', 'united', 'states', 'population', 'county', 'census'], ['also', 'common', 'genus', 'sea', 'known', 'fish', 'extinct', 'found', 'family', 'species'], ['located', 'czech', 'town', 'district', 'republic', 'th', 'air', 'population', 'army', 'municipality']]}"
9,"{'topics': [['building', 'river', 'town', 'historic', 'railway', 'city', 'county', 'located', 'station', 'district'], ['first', 'world', 'aircraft', 'air', 'united', 'states', 'war', 'built', 'navy', 'ship'], ['town', 'municipality', 'area', 'township', 'city', 'united', 'population', 'census', 'states', 'county'], ['south', 'united', 'one', 'family', 'known', 'also', 'municipality', 'genus', 'species', 'found'], ['national', 'world', 'played', 'football', 'basketball', 'team', 'professional', 'player', 'plays', 'footballer'], ['politician', 'member', 'served', 'best', 'american', 'band', 'also', 'film', 'first', 'known']]}"
